,lat,lon,max_temp,humidity,wind_speed,cloudiness,country,date,name
320,-13.7,-76.2167,60.85,77,14.97,0,PE,1665365040,Pisco
321,-2.0833,101.3833,65.77,88,1.39,100,ID,1665365040,Sungai Penuh
322,-11.7292,-49.0686,80.28,56,6.35,80,BR,1665365040,Gurupi
323,70.9821,25.9704,44.35,81,20.71,100,NO,1665365041,Honningsvåg
324,57.3344,-4.4799,43.52,82,12.91,23,GB,1665365041,Drumnadrochit
325,27.9769,-114.0611,72.37,78,14.94,0,MX,1665364808,Guerrero Negro
326,-41.8697,-73.8203,43.27,86,4.74,1,CL,1665365042,Ancud
327,-31.95,141.4333,64.35,29,9.46,82,AU,1665365042,Broken Hill
328,27.3331,91.5542,68.52,97,1.54,100,BT,1665365042,Tashigang
329,14.3188,2.0866,88.97,35,10.8,0,NE,1665365043,Ouallam
330,14.8888,5.2692,86.72,19,7.58,0,NE,1665365043,Tahoua
331,-8.7676,160.7034,86.95,59,5.1,31,SB,1665365044,Auki
332,16.1525,36.2032,85.32,43,5.97,0,SD,1665365044,Wagar
333,5.7947,0.8973,78.51,80,3.94,96,GH,1665365044,Anloga
334,-15.4311,-74.6158,65.55,70,3.8,21,PE,1665364992,Acarí
335,36.6777,-121.6555,59.74,82,11.5,100,US,1665364995,Salinas
336,78.2186,15.6401,35.44,80,12.66,40,SJ,1665365045,Longyearbyen
337,51.3813,1.3862,54.27,86,1.01,100,GB,1665365045,Margate
338,-17.6394,-71.3375,59.38,81,3.36,14,PE,1665365046,Ilo
339,55.7383,46.7549,46.9,80,8.41,100,RU,1665365046,Alikovo
340,-6.8844,112.2051,82.2,74,6.42,35,ID,1665365046,Labuhan
341,-12.6,-69.1833,76.78,80,0.69,16,PE,1665365047,Puerto Maldonado
342,47.6167,-57.6152,49.59,71,11.56,100,CA,1665365047,Burgeo
343,69.3833,178.4167,20.14,71,15.64,65,RU,1665365047,Leningradskiy
344,38.9342,100.4517,46.17,17,7.36,0,CN,1665365048,Zhangye
345,-15.8631,-38.8828,75.42,85,9.24,3,BR,1665365048,Belmonte
346,18.4167,-64.6167,80.64,89,5.75,20,VG,1665364929,Road Town
347,60.4078,57.082,48.45,87,11.01,100,RU,1665365049,Krasnovishersk
348,55.3068,79.6802,42.62,89,12.37,89,RU,1665365049,Ubinskoye
349,54.4299,31.8996,40.93,94,8.63,0,RU,1665365049,Sobolevo
350,50.4738,17.3344,39.9,78,6.76,5,PL,1665365050,Nysa
351,54.7167,158.6167,41.61,40,11.48,98,RU,1665365050,Mil'kovo
352,30.9866,103.9393,57.67,59,0.85,99,CN,1665365050,Tianpeng
353,40.478,21.6341,51.69,59,1.21,100,GR,1665365051,Ardassa
354,-26.6167,-54.1333,48.18,96,6.71,98,AR,1665365052,San Vicente
